ID,label
S00000,0
S00001,35853
S00002,35853
S00003,35853
S00004,35853
S00005,35853
S00006,35853
S00007,35853
S00008,35853
S00009,35853
S00010,35853
S00011,35853
S00012,35853
S00013,35853
S00014,35853
S00015,35853
S00016,35853
S00017,1
S00018,0
S00019,6615
S00020,6615
S00021,6615
S00022,6615
S00023,35853
S00024,35853
S00025,35853
S00026,35853
S00027,35853
S00028,35853
S00029,35829
S00030,35829
S00031,35829
S00032,1
S00033,0
S00034,6615
S00035,6615
S00036,6615
S00037,6615
S00038,35853
S00039,35853
S00040,35853
S00041,35853
S00042,35853
S00043,35853
S00044,35829
S00045,35829
S00046,35829
S00047,35829
S00048,35829
S00049,1
S00050,0
S00051,6615
S00052,35853
S00053,35853
S00054,35853
S00055,35853
S00056,35853
S00057,35853
S00058,35853
S00059,35853
S00060,1
S00061,0
S00062,6615
S00063,35853
S00064,35853
S00065,35853
S00066,35853
S00067,35853
S00068,35853
S00069,35853
S00070,35853
S00071,35829
S00072,35829
S00073,35829
S00074,35829
S00075,35829
S00076,1
S00077,0
S00078,6615
S00079,6615
S00080,6615
S00081,6615
S00082,6615
S00083,6615
S00084,6615
S00085,6615
S00086,1
S00087,0
S00088,6615
S00089,35853
S00090,35853
S00091,35853
S00092,35853
S00093,35853
S00094,35853
S00095,35853
S00096,35853
S00097,35829
S00098,35829
S00099,35829
S00100,35829
S00101,35829
S00102,1
S00103,0
S00104,6615
S00105,6615
S00106,6615
S00107,6615
S00108,6615
S00109,6615
S00110,35853
S00111,35853
S00112,35853
S00113,35853
S00114,35829
S00115,1
S00116,0
S00117,6615
S00118,6615
S00119,1
S00120,0
S00121,6615
S00122,6615
S00123,6615
S00124,6615
S00125,6615
S00126,6615
S00127,6615
S00128,6615
S00129,1548
S00130,1
S00131,0
S00132,6615
S00133,6615
S00134,6615
S00135,35853
S00136,35853
S00137,35853
S00138,35853
S00139,35853
S00140,35853
S00141,35853
S00142,35829
S00143,35829
S00144,35829
S00145,1
S00146,0
S00147,6615
S00148,6615
S00149,6615
S00150,6615
S00151,35853
S00152,35853
S00153,35853
S00154,35853
S00155,35853
S00156,35853
S00157,1
S00158,0
S00159,35853
S00160,35853
S00161,35853
S00162,35853
S00163,35853
S00164,35853
S00165,35853
S00166,35853
S00167,1
S00168,0
S00169,6615
S00170,6615
S00171,35853
S00172,35853
S00173,35853
S00174,35853
S00175,35853
S00176,35853
S00177,35853
S00178,35853
S00179,35829
S00180,35829
S00181,35829
S00182,35829
S00183,35829
S00184,1
S00185,0
S00186,6615
S00187,6615
S00188,6615
S00189,6615
S00190,6615
S00191,6615
S00192,6615
S00193,35853
S00194,35853
S00195,35853
S00196,35829
S00197,1
S00198,0
S00199,6615
S00200,6615
S00201,35853
S00202,35853
S00203,35853
S00204,35853
S00205,35853
S00206,35853
S00207,35853
S00208,35853
S00209,35829
S00210,35829
S00211,35829
S00212,35829
S00213,35829
S00214,35829
S00215,1
S00216,0
S00217,6615
S00218,35853
S00219,35853
S00220,35829
S00221,35829
S00222,35853
S00223,35853
S00224,35853
S00225,35829
S00226,35829
S00227,35829
S00228,35829
S00229,35829
S00230,1
S00231,0
S00232,6615
S00233,6615
S00234,6615
S00235,6615
S00236,6615
S00237,6615
S00238,1
S00239,0
S00240,35853
S00241,35853
S00242,35853
S00243,35853
S00244,35853
S00245,35853
S00246,35853
S00247,35853
S00248,35853
S00249,35829
S00250,35829
S00251,35829
S00252,35829
S00253,35829
S00254,1
S00255,0
S00256,6615
S00257,6615
S00258,6615
S00259,35853
S00260,35853
S00261,35853
S00262,35853
S00263,35853
S00264,35853
S00265,35853
S00266,35829
S00267,35829
S00268,35829
S00269,1
S00270,0
S00271,6615
S00272,35853
S00273,35829
S00274,35829
S00275,35829
S00276,35829
S00277,35829
S00278,35829
S00279,35829
S00280,35829
S00281,35829
S00282,35829
S00283,35829
S00284,35829
S00285,35829
S00286,1
S00287,0
S00288,6615
S00289,6615
S00290,35853
S00291,35853
S00292,35853
S00293,35853
S00294,35853
S00295,35853
S00296,35853
S00297,35853
S00298,35829
S00299,35829
S00300,35829
S00301,35829
S00302,1
S00303,0
S00304,6615
S00305,35853
S00306,35853
S00307,35853
S00308,35853
S00309,35853
S00310,35853
S00311,35853
S00312,35853
S00313,35853
S00314,35829
S00315,35829
S00316,35829
S00317,1
S00318,0
S00319,35853
S00320,35853
S00321,35853
S00322,35853
